,Player,Pos,Team,PASS ATT,PASS CMP,PASS YDS,PASS TD,INTS,RUSH ATT,RUSH YDS,RUSH TD,REC YDS,REC TD,FL
5,Trey McBride,TE,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.2,5.1,0.5
6,Dalton Kincaid,TE,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.8,5.4,0.8
7,Jake Ferguson,TE,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.5,5.9,0.4
8,David Njoku,TE,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764.4,5.4,1.2
9,Evan Engram,TE,JAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.3,4.4,0.9
10,Brock Bowers,TE,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689.5,4.6,1.1
11,Dallas Goedert,TE,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.5,4.1,0.5
12,Dalton Schultz,TE,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.8,4.9,0.8
13,Pat Freiermuth,TE,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.4,4.6,0.5
14,Cole Kmet,TE,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.1,4.4,0.5
15,T.J. Hockenson,TE,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.9,3.6,0.8
16,Taysom Hill,TE,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.7,2.1,0.7
17,Tyler Conklin,TE,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.8,3.4,0.1
18,Hunter Henry,TE,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.9,4.0,0.1
19,Luke Musgrave,TE,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.5,3.4,0.1
20,Juwan Johnson,TE,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.2,4.2,0.1
21,Chigoziem Okonkwo,TE,TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.0,2.6,0.4
22,Cade Otton,TE,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.9,3.5,0.4
23,Noah Fant,TE,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.6,2.8,0.1
24,Isaiah Likely,TE,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.8,3.7,0.0
25,Hayden Hurst,TE,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.8,2.8,0.1
26,Ben Sinnott,TE,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,2.6,0.4
27,Tucker Kraft,TE,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.5,2.7,0.1
28,Jonnu Smith,TE,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.3,2.4,0.4
29,Mike Gesicki,TE,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.6,3.0,0.0
30,Dawson Knox,TE,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.1,3.3,0.1
31,Tyler Higbee,TE,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.9,2.1,0.1
32,Greg Dulcich,TE,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.5,1.9,0.1
33,Daniel Bellinger,TE,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.7,2.0,0.1
34,Colby Parkinson,TE,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.4,2.4,0.1
35,Ja'Tavion Sanders,TE,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.5,2.3,0.4
36,Donald Parham Jr.,TE,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.5,3.0,0.0
37,Zach Ertz,TE,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.1,2.3,0.1
38,Tommy Tremble,TE,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.3,2.6,0.1
39,Michael Mayer,TE,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.9,1.9,0.1
40,Jaheim Bell,TE,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,2.0,0.0
41,Theo Johnson,TE,NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.7,1.8,0.6
42,Jelani Woods,TE,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.1,1.8,0.1
43,Gerald Everett,TE,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.6,1.8,0.1
44,Kylen Granson,TE,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.6,1.5,0.0
45,Noah Gray,TE,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.2,1.7,0.1
46,Tanner Hudson,TE,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.5,1.7,0.1
47,Brevin Jordan,TE,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,1.9,0.0
48,Will Dissly,TE,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.6,1.4,0.1
49,Logan Thomas,TE,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.7,1.8,0.4
50,Will Mallory,TE,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.8,1.5,0.0
51,Cade Stover,TE,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.5,1.5,0.0
52,Durham Smythe,TE,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.3,1.3,0.0
53,Mo Alie-Cox,TE,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.6,1.8,0.0
54,Johnny Mundt,TE,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.9,1.2,0.0
55,Robert Tonyan,TE,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.5,1.3,0.0
